Poet,double-draft instances,size of corpus (characters),double-draft ratio,Monk
裴漼,1,236,0.004237288136,
李邕,0,236,0,
李忱,2,235,0.008510638298,
李顯,1,232,0.004310344828,
韋元甫,0,232,0,
許堅2,0,232,0,
慧宣,0,231,0,Yes
王丘,0,230,0,
魏知古,0,230,0,
朱長文,1,226,0.004424778761,
王元,0,226,0,
丘光庭,9,225,0.04,
閻德隱,2,224,0.008928571429,
劉景複,1,224,0.004464285714,
張昭,0,224,0,
竇冀,2,223,0.008968609865,
韓熙載,1,222,0.004504504505,
張仲方,0,222,0,
王駕,4,220,0.01818181818,
竇參,1,220,0.004545454545,
陳存,0,220,0,
岑文本,0,220,0,
孫昌胤,0,220,0,
歐陽玭,0,220,0,
李觀,0,220,0,
元季川,0,220,0,
李正封,0,218,0,
文丙,0,216,0,
湯悅,0,216,0,
杜頠,0,215,0,
馮道,2,214,0.009345794393,
徐賢妃,0,214,0,
梁瓊,2,211,0.009478672986,
陸長源,1,210,0.004761904762,
鄭熏,1,210,0.004761904762,
閻寬,1,210,0.004761904762,
王季文,0,210,0,
海順,0,210,0,
隱巒,4,208,0.01923076923,Yes
樓穎,0,208,0,Yes
姚揆,0,208,0,
許堅1,0,208,0,
紀唐夫,0,208,0,
李吉甫,0,208,0,
張鼎,0,207,0,
龐蘊,2,204,0.009803921569,
張袞,2,204,0.009803921569,
員半千,0,204,0,
陳季卿,0,204,0,
袁不約,0,202,0,
宋華,3,200,0.015,
張蕭遠,1,200,0.005,
庾抱,0,200,0,
郭元振,0,200,0,
杜淹,0,200,0,
姚康,0,200,0,
虞羽客,0,200,0,
殷遙,0,200,0,
蔣渙,0,200,0,
李希仲,0,200,0,
袁高,0,200,0,
溫庭皓,0,200,0,
常理,0,198,0,
王锪,2,197,0.01015228426,
馮待征,2,196,0.01020408163,
孫棨,1,196,0.005102040816,
李衍,1,196,0.005102040816,
徐鍇,0,196,0,
史鳳,0,196,0,
呂渭,0,196,0,
李泌,2,195,0.01025641026,
麹信陵,1,194,0.005154639175,
王鐸,0,194,0,
李曄,1,192,0.005208333333,
趙璜,0,192,0,
李舒,0,192,0,
陸贄,0,191,0,
裴次元,0,190,0,
王珪,0,190,0,
殷寅,0,190,0,
馬湘,2,188,0.01063829787,
柳泌,0,188,0,
王烈,0,186,0,
張窈窕,0,186,0,
田娥,0,184,0,
于邵,0,184,0,
屈同仙,0,183,0,
盧注,2,182,0.01098901099,
李從善,0,181,0,
唐堯臣,0,181,0,
徐昌圖,0,181,0,
張光朝,0,180,0,
葉季良,0,180,0,
崔立之,0,180,0,
徐延壽,0,180,0,
楊于陵,0,180,0,
李昂1,0,180,0,
範傳正,0,180,0,
李林甫,0,180,0,
丁澤,0,180,0,
徐九皋,0,180,0,
王之渙,0,180,0,
譚銖,0,178,0,
洞庭龍君,3,176,0.01704545455,
李幼卿,1,176,0.005681818182,
張昌宗,0,176,0,
黃損,0,174,0,
黃頗,1,172,0.005813953488,
段文昌,0,172,0,
崔邠,0,172,0,
朱晝,1,170,0.005882352941,
魏氏,1,170,0.005882352941,
崔興宗,1,170,0.005882352941,
顏胄,1,170,0.005882352941,
莫宣卿,0,170,0,
奚賈,0,170,0,
金車美人,3,168,0.01785714286,
蜀宮群仙,2,168,0.0119047619,
羅袞,2,168,0.0119047619,
李縠,1,168,0.005952380952,
王岩,1,168,0.005952380952,
趙氏2,1,168,0.005952380952,
劉損,1,168,0.005952380952,
高瑾,1,168,0.005952380952,
魯收,1,168,0.005952380952,
劉元叔,1,168,0.005952380952,
鄭璧,0,168,0,
趙光遠,0,168,0,
鄭渥,0,168,0,
鄭啟,0,168,0,
劉元淑,0,168,0,
韓仲宣,0,168,0,
顏萱,0,168,0,
